"method","experiment","metric","ccc","ccc_lower_ci","ccc_upper_ci"
"Wavelet_transform","hand_bike","HRV_CVNN","0.504920120844426","0.233295931319868","0.703453112614474"
"Wavelet_transform","hand_bike","HRV_TINN","0.0511501923529874","-0.0567045913313192","0.157824884141803"
"Wavelet_transform","hand_bike","HRV_HTI","0.273143316555786","0.0635293912712152","0.45967550866868"
"Wavelet_transform","hand_bike","HRV_SDRMSSD","0.0790421482019839","7.84556383044214e-05","0.157026251319336"
"Wavelet_transform","hand_bike","HRV_pNN20","-0.00102335828163407","-0.0398293781372898","0.0377857439872321"
"Wavelet_transform","hand_bike","HRV_pNN50","0.021339916331612","-0.0175101072238612","0.0601255995606632"
"Wavelet_transform","hand_bike","HRV_IQRNN","0.571450323563","0.338238298463784","0.738533570675348"
"Wavelet_transform","hand_bike","HRV_LF","0.495127036038702","0.147374564377997","0.733934979671602"
"Wavelet_transform","hand_bike","HRV_HF","0.183217058956379","-0.204321514558426","0.521106229447394"
"Wavelet_transform","hand_bike","HRV_LFHF","0.289429593379757","0.0672861476710655","0.484233049649722"
"Wavelet_transform","hand_bike","HRV_LFn","0.349719874718958","0.0972269893789019","0.559918194241709"
"Wavelet_transform","hand_bike","HRV_HFn","0.360250579624767","0.0591929203307226","0.60123904545697"
"Wavelet_transform","hand_bike","HRV_LnHF","0.475706269607074","0.179067364121389","0.693060334030137"
"Wavelet_transform","hand_bike","HRV_SD1","0.343912779631089","0.136294775393283","0.522591745820401"
"Wavelet_transform","hand_bike","HRV_SD2","0.768444427144657","0.555211172341499","0.886887857420158"
"Wavelet_transform","hand_bike","HRV_SD1SD2","0.143348825057949","0.0146038332410084","0.267418227083991"
"Wavelet_transform","hand_bike","HRV_SampEn","0.184833184516689","-0.0100477876536924","0.366187120151923"
"Wavelet_transform","hand_bike","HRV_TP","0.318880001581283","-0.0724919029079604","0.62515257939649"
"Engzee","sitting","HRV_MeanNN","0.995761071017655","0.991036692242603","0.997997829056859"
"Engzee","sitting","HRV_SDNN","0.097369165178163","-0.192346177121586","0.371471969861186"
"Engzee","sitting","HRV_RMSSD","0.0171116620384405","-0.163609418306629","0.196721552100619"
"Engzee","sitting","HRV_SDSD","0.0174901218092007","-0.163423314063239","0.197265519631457"
"Engzee","sitting","HRV_CVSD","-0.0410197345803512","-0.171871921097851","0.0912548183729115"
"Engzee","sitting","HRV_CVNN","-0.0210471585094429","-0.233797864521838","0.193626933901558"
"Engzee","sitting","HRV_TINN","0.422891004819964","0.133579927330263","0.645783514959071"
"Engzee","sitting","HRV_HTI","0.991225254490058","0.980488257554223","0.996065592841928"
"Engzee","sitting","HRV_SDRMSSD","0.303130019011677","-0.0633821611460778","0.597591747823737"
"Engzee","sitting","HRV_pNN20","0.995686717069258","0.99083652431919","0.997972335961563"
"Engzee","sitting","HRV_pNN50","0.984836969118619","0.966099639513544","0.993253382708162"
