,sensitivity,JF,method,experiment,subject_idx
162,99.44444444444444,71.42857142857143,Wavelet_transform,walking,5
163,98.88888888888889,100.0,Engzee,walking,5
164,100.0,71.21407121407121,Christov,walking,5
165,97.77777777777777,71.42857142857143,Hamilton,walking,5
166,97.22222222222221,71.42857142857143,Pan_Tompkins,walking,5
167,95.55555555555556,71.21407121407121,WQRS,walking,5
168,94.14893617021278,70.41107041107041,Elgendi_et_al,hand_bike,5
169,85.1063829787234,70.02012072434609,Matched_filter,hand_bike,5
170,94.14893617021278,40.502793296089386,Wavelet_transform,hand_bike,5
171,86.17021276595744,91.2568306010929,Engzee,hand_bike,5
172,96.27659574468085,69.0343176376696,Christov,hand_bike,5
173,91.48936170212765,53.85329619312906,Hamilton,hand_bike,5
174,90.42553191489363,39.61748633879781,Pan_Tompkins,hand_bike,5
175,90.42553191489363,68.28885400313972,WQRS,hand_bike,5
176,99.36305732484077,100.0,Elgendi_et_al,sitting,6
177,96.81528662420382,99.29577464788733,Matched_filter,sitting,6
178,99.36305732484077,100.0,Wavelet_transform,sitting,6
179,99.36305732484077,100.0,Engzee,sitting,6
180,100.0,100.0,Christov,sitting,6
181,100.0,100.0,Hamilton,sitting,6
182,99.36305732484077,100.0,Pan_Tompkins,sitting,6
183,92.35668789808918,99.29577464788733,WQRS,sitting,6
184,95.42483660130719,99.6415770609319,Elgendi_et_al,maths,6
185,96.07843137254902,100.0,Matched_filter,maths,6
186,100.0,70.91836734693878,Wavelet_transform,maths,6
187,99.34640522875817,100.0,Engzee,maths,6
188,100.0,100.0,Christov,maths,6
189,98.69281045751634,71.42857142857143,Hamilton,maths,6
190,100.0,71.42857142857143,Pan_Tompkins,maths,6
191,92.81045751633987,98.57142857142858,WQRS,maths,6
192,99.40119760479041,100.0,Elgendi_et_al,walking,6
193,98.20359281437125,100.0,Matched_filter,walking,6
194,99.40119760479041,71.42857142857143,Wavelet_transform,walking,6
195,98.80239520958084,100.0,Engzee,walking,6
196,99.40119760479041,100.0,Christov,walking,6
197,97.60479041916167,100.0,Hamilton,walking,6
198,98.20359281437125,71.42857142857143,Pan_Tompkins,walking,6
199,92.81437125748504,99.00990099009901,WQRS,walking,6
200,97.40932642487047,99.72144846796658,Elgendi_et_al,hand_bike,6
201,97.92746113989638,99.72144846796658,Matched_filter,hand_bike,6
202,97.40932642487047,45.45454545454545,Wavelet_transform,hand_bike,6
203,88.60103626943005,91.77718832891246,Engzee,hand_bike,6
204,86.52849740932642,53.496712492528374,Christov,hand_bike,6
205,93.78238341968913,55.24691358024691,Hamilton,hand_bike,6
206,97.40932642487047,71.22960604854755,Pan_Tompkins,hand_bike,6
207,93.78238341968913,70.63930544593529,WQRS,hand_bike,6
208,99.19678714859438,99.7867803837953,Elgendi_et_al,jogging,6
209,83.13253012048193,70.5244122965642,Matched_filter,jogging,6
210,99.19678714859438,45.45454545454545,Wavelet_transform,jogging,6
211,98.39357429718876,99.7867803837953,Engzee,jogging,6
212,99.59839357429718,71.42857142857143,Christov,jogging,6
213,98.79518072289156,71.42857142857143,Hamilton,jogging,6
214,99.59839357429718,71.42857142857143,Pan_Tompkins,jogging,6
215,93.17269076305222,70.6605222734255,WQRS,jogging,6
216,100.0,100.0,Elgendi_et_al,sitting,7
217,97.54601226993866,100.0,Matched_filter,sitting,7
218,100.0,100.0,Wavelet_transform,sitting,7
219,100.0,100.0,Engzee,sitting,7
220,99.38650306748467,100.0,Christov,sitting,7
221,100.0,100.0,Hamilton,sitting,7
222,95.0920245398773,45.45454545454545,Pan_Tompkins,sitting,7
223,98.15950920245399,100.0,WQRS,sitting,7
224,99.46236559139786,100.0,Elgendi_et_al,maths,7
225,98.9247311827957,100.0,Matched_filter,maths,7
226,99.46236559139786,71.42857142857143,Wavelet_transform,maths,7
227,99.46236559139786,100.0,Engzee,maths,7
228,99.46236559139786,100.0,Christov,maths,7
229,99.46236559139786,71.42857142857143,Hamilton,maths,7
230,98.38709677419355,71.42857142857143,Pan_Tompkins,maths,7
231,95.6989247311828,100.0,WQRS,maths,7
232,99.44444444444444,71.42857142857143,Elgendi_et_al,walking,7
233,98.33333333333333,100.0,Matched_filter,walking,7
234,100.0,71.42857142857143,Wavelet_transform,walking,7
235,98.88888888888889,100.0,Engzee,walking,7
236,99.44444444444444,71.42857142857143,Christov,walking,7
237,97.22222222222221,55.05804311774462,Hamilton,walking,7
238,97.77777777777777,71.21407121407121,Pan_Tompkins,walking,7
239,93.33333333333333,99.39393939393939,WQRS,walking,7
240,98.7012987012987,100.0,Elgendi_et_al,hand_bike,7
241,98.7012987012987,100.0,Matched_filter,hand_bike,7
242,100.0,100.0,Wavelet_transform,hand_bike,7
243,98.7012987012987,100.0,Engzee,hand_bike,7
244,100.0,100.0,Christov,hand_bike,7
245,100.0,71.42857142857143,Hamilton,hand_bike,7
246,97.40259740259741,71.42857142857143,Pan_Tompkins,hand_bike,7
247,96.75324675324676,100.0,WQRS,hand_bike,7
248,82.1969696969697,66.42402183803458,Elgendi_et_al,jogging,7
249,66.66666666666666,17.972786145674164,Matched_filter,jogging,7
250,94.6969696969697,44.913419913419915,Wavelet_transform,jogging,7
251,71.96969696969697,90.57377049180327,Engzee,jogging,7
252,77.27272727272727,32.015810276679844,Christov,jogging,7
253,86.74242424242425,28.825872978673544,Hamilton,jogging,7
254,87.12121212121212,25.742574257425744,Pan_Tompkins,jogging,7
255,78.03030303030303,32.327297116029506,WQRS,jogging,7
256,98.68421052631578,100.0,Elgendi_et_al,sitting,8
257,98.68421052631578,100.0,Matched_filter,sitting,8
258,98.68421052631578,71.4285714285714,Wavelet_transform,sitting,8
259,98.68421052631578,99.63636363636364,Engzee,sitting,8
260,99.3421052631579,100.0,Christov,sitting,8
261,98.02631578947368,71.42857142857143,Hamilton,sitting,8
262,98.68421052631578,71.42857142857143,Pan_Tompkins,sitting,8
263,99.3421052631579,100.0,WQRS,sitting,8
264,99.35483870967742,100.0,Elgendi_et_al,maths,8
265,99.35483870967742,71.42857142857143,Matched_filter,maths,8
266,100.0,71.42857142857143,Wavelet_transform,maths,8
267,96.7741935483871,100.0,Engzee,maths,8
268,100.0,100.0,Christov,maths,8
269,100.0,71.42857142857143,Hamilton,maths,8
270,100.0,71.42857142857143,Pan_Tompkins,maths,8
271,96.7741935483871,100.0,WQRS,maths,8
272,99.47368421052632,71.42857142857143,Elgendi_et_al,walking,8
273,100.0,45.45454545454545,Matched_filter,walking,8
274,100.0,71.42857142857143,Wavelet_transform,walking,8
275,87.36842105263159,94.92537313432837,Engzee,walking,8
276,100.0,71.42857142857143,Christov,walking,8
277,100.0,71.42857142857143,Hamilton,walking,8
278,100.0,45.45454545454545,Pan_Tompkins,walking,8
279,97.89473684210527,100.0,WQRS,walking,8
280,99.43820224719101,100.0,Elgendi_et_al,hand_bike,8
281,100.0,45.45454545454545,Matched_filter,hand_bike,8
282,100.0,71.42857142857143,Wavelet_transform,hand_bike,8
283,88.20224719101124,94.53376205787781,Engzee,hand_bike,8
284,100.0,71.42857142857143,Christov,hand_bike,8
285,100.0,71.42857142857143,Hamilton,hand_bike,8
286,100.0,71.42857142857143,Pan_Tompkins,hand_bike,8
287,99.43820224719101,100.0,WQRS,hand_bike,8
288,82.89473684210526,64.69002695417791,Elgendi_et_al,jogging,8
289,95.72368421052632,55.55555555555556,Matched_filter,jogging,8
290,100.0,45.45454545454545,Wavelet_transform,jogging,8
291,51.973684210526315,69.95515695067265,Engzee,jogging,8
292,95.39473684210526,70.93596059113301,Christov,jogging,8
293,99.01315789473685,71.30520602023192,Hamilton,jogging,8
294,100.0,50.0,Pan_Tompkins,jogging,8
295,91.77631578947368,55.171088043060365,WQRS,jogging,8
296,99.43181818181817,100.0,Elgendi_et_al,sitting,9
297,92.61363636363636,98.11320754716981,Matched_filter,sitting,9
298,99.43181818181817,71.42857142857143,Wavelet_transform,sitting,9
299,99.43181818181817,100.0,Engzee,sitting,9
300,99.43181818181817,100.0,Christov,sitting,9
301,100.0,71.42857142857143,Hamilton,sitting,9
302,97.72727272727273,71.42857142857143,Pan_Tompkins,sitting,9
303,91.47727272727273,98.43260188087774,WQRS,sitting,9
304,99.52606635071089,100.0,Elgendi_et_al,maths,9
305,93.8388625592417,98.19121447028424,Matched_filter,maths,9
306,99.52606635071089,29.41176470588236,Wavelet_transform,maths,9
307,99.0521327014218,100.0,Engzee,maths,9
308,99.52606635071089,100.0,Christov,maths,9
309,99.52606635071089,71.42857142857143,Hamilton,maths,9
310,99.52606635071089,71.42857142857143,Pan_Tompkins,maths,9
311,92.41706161137441,81.8260120585702,WQRS,maths,9
312,99.51690821256038,71.42857142857143,Elgendi_et_al,walking,9
313,88.40579710144928,70.49118860142482,Matched_filter,walking,9
314,100.0,45.45454545454545,Wavelet_transform,walking,9
315,99.03381642512076,100.0,Engzee,walking,9
316,99.51690821256038,71.24400147655962,Christov,walking,9
317,88.40579710144928,43.973570289359756,Hamilton,walking,9
318,61.35265700483091,22.42360869060067,Pan_Tompkins,walking,9
319,90.82125603864735,70.1093102148511,WQRS,walking,9
320,99.49238578680203,100.0,Elgendi_et_al,hand_bike,9
321,99.49238578680203,100.0,Matched_filter,hand_bike,9
322,100.0,33.33333333333333,Wavelet_transform,hand_bike,9
323,98.98477157360406,100.0,Engzee,hand_bike,9
324,99.49238578680203,71.42857142857143,Christov,hand_bike,9
325,100.0,71.42857142857143,Hamilton,hand_bike,9
326,100.0,71.42857142857143,Pan_Tompkins,hand_bike,9
327,91.87817258883248,98.33333333333333,WQRS,hand_bike,9
328,99.34640522875817,100.0,Elgendi_et_al,sitting,10
329,98.0392156862745,55.55555555555557,Matched_filter,sitting,10
330,98.0392156862745,100.0,Wavelet_transform,sitting,10
331,99.34640522875817,100.0,Engzee,sitting,10
332,99.34640522875817,100.0,Christov,sitting,10
333,99.34640522875817,71.42857142857143,Hamilton,sitting,10
334,99.34640522875817,71.42857142857143,Pan_Tompkins,sitting,10
